label,total_return,sharpe,max_dd,total_trades,win_rate,avg_daily_ret,n_days
scaled_asym_h1,0.6281434372731476,10.851333019671475,-0.0183598732463629,3017,0.8,0.004910723849072779,100
kitchen_sink_pm_v2,0.6033526624616492,9.200432305408864,-0.014170174534789526,2284,0.79,0.004763894643449147,100
long_only_h5,0.4234176630086077,7.152056456980043,-0.03029313389099686,1387,0.74,0.0035668577181952143,100
long_only_h10,0.42243604493427767,6.282127296668156,-0.027587878741491934,1046,0.65,0.003568843863698093,100
reentry_asym_h1,0.411769540371012,7.731153732419389,-0.030104670594922833,3667,0.7,0.0034785342148154767,100
kitchen_sink_pm,0.3936392675105407,8.52770244718239,-0.009708461997552709,1772,0.83,0.0033429815362174984,100
asym_L0.5/S1.0_h1,0.37507050527237196,7.964737588669722,-0.033773940652001344,4044,0.74,0.003209615099008663,100
asym_L0.7/S1.0_h1,0.3486440048894319,8.743426988689366,-0.02171339134539707,3017,0.74,0.0030096729548252,100
scaled_h1,0.3247554045554022,8.295501570999468,-0.015733582735224516,1893,0.77,0.00283014896130575,100
cum_resid_h20,0.31655453103361597,5.1364625384424984,-0.04604706040533757,443,0.66,0.0027896205018058283,100
hold=2,0.2992896547944295,7.205246074713717,-0.00950025591671444,1678,0.71,0.0026376682793733297,100
long_only_h3,0.2989796896840409,5.692357224780806,-0.026679179228213057,1619,0.7,0.002645322618765094,100
reentry_h1,0.2780708685948019,7.10126531123401,-0.02271517860418648,2219,0.76,0.002471012434469168,100
hold=1,0.24127515797609211,7.999984727782636,-0.017032128862956464,1893,0.76,0.002172590555910179,100
th=±1.0σ_h1,0.24127515797609211,7.999984727782636,-0.017032128862956464,1893,0.76,0.002172590555910179,100
th=±0.7σ_h1,0.2295235222172829,5.006393560697613,-0.025957029088902295,4920,0.6,0.0020893329978280504,100
asym_L0.7/S1.5_h1,0.22400721336128315,7.121752560022712,-0.012335422944445451,1986,0.69,0.002033154873346486,100
trend30_asym_h1,0.21669114881290263,7.65153884091695,-0.0126833656103581,1784,0.68,0.001971258796696203,100
cum_resid_h10,0.2089108306225549,3.7362470190162655,-0.048258860102561196,807,0.67,0.0019313544797100218,100
hold=3,0.20786458577280342,4.97444594785924,-0.019503200650328067,1515,0.66,0.0019080224418194973,100
long_only_h1,0.20766538795000233,7.114255191985235,-0.012373393446779013,1941,0.69,0.001897243636978837,100
trend10_h1,0.18113433672398083,7.30420001117034,-0.009657816330475466,1232,0.71,0.0016724396363014488,100
combo_accel_h1,0.17886214857336324,3.669074829724019,-0.03624664617338158,6020,0.59,0.0016718178654660028,100
hold=5,0.15675298648834723,2.9003197678443824,-0.029601403655998282,1277,0.56,0.0014887717649668378,100
afternoon_h1,0.15140559224476058,7.9114186686353385,-0.006754538109709385,1151,0.7,0.0014146758773883814,100
afternoon_h3,0.13452442400113207,5.049357250235702,-0.013139824062680772,901,0.61,0.0012705619627691029,100
th=±0.5σ_h1,0.09964363221964168,1.8470047983412123,-0.053467591730636865,7126,0.5,0.0009845158251584071,100
close_only_h3,0.07819662678886008,4.48779386362553,-0.009763024790016672,509,0.54,0.0007566155665991273,100
cum_resid_h5,0.0729527497827882,1.6508675378327493,-0.043320410282046584,1440,0.59,0.0007279540076618476,100
close_only_h1,0.0660377014739777,5.823834749731852,-0.002830624728949016,663,0.61,0.0006411540467847622,100
afternoon_h5,0.03360987840303875,1.188455977459301,-0.021943510166399616,751,0.55,0.0003405464947596098,100
th=±1.5σ_h1,0.020384226215999002,1.9926005461511807,-0.004467596798219398,107,0.27,0.00020306110503314035,100
close_only_h5,0.018574872804124398,0.971607263656559,-0.01453602455974401,422,0.58,0.00018862385670389238,100
th=±2.0σ_h1,-0.0007139600507950483,-0.2884616491539618,-0.0033289754029922625,7,0.03,-7.069343595485717e-06,100
hold=10,-0.01100217013673288,-0.1520691270069896,-0.08330524156561614,906,0.46,-7.843094876824643e-05,100
hold=30,-0.06161369305601483,-0.8853598073063775,-0.09789788893595719,434,0.51,-0.0005830222282938165,100
hold=60,-0.07844063037096116,-1.4276757646302785,-0.1068919039975792,239,0.48,-0.0007802530402010494,100
wide_th0.5_h30,-0.11069205595250753,-1.3242602124870675,-0.17159130781938836,677,0.47,-0.0010903166730613378,100
hold=20,-0.11684899245911928,-1.9832679147466024,-0.1435969291426804,605,0.42,-0.0011974975469501463,100
breadth5_h5,-0.13129613588976097,-2.7049340762796033,-0.1533801856119178,2554,0.44,-0.0013751680431509582,100
th=±0.3σ_h1,-0.13843863046032634,-2.594784007334887,-0.19695754354292405,9135,0.44,-0.0014511277084682881,100
wide_th0.5_h20,-0.18650989094537995,-2.8715248841126995,-0.2172749144688646,979,0.42,-0.0020030973438931255,100
wide_th0.5_h10,-0.21774176660310274,-3.1834540355554197,-0.25868109138479634,1822,0.36,-0.002384759316389575,100
wide_th0.5_h5,-0.24993783817665383,-4.454463955045479,-0.25833335288795434,3110,0.41,-0.0028231816545135425,100
