no,date,entry,exit,dir,dir_en,size,sig_z,gross,net,ok,cum,yuan
1,2026-01-19,09:41,09:42,做多↑,LONG,1.35,0.67,1.59,-2.36,❌,-2.36,-276.0
2,2026-01-19,09:45,09:46,做多↑,LONG,1.2,0.6,6.27,3.04,✅,0.68,355.0
3,2026-01-19,09:50,09:51,做多↑,LONG,1.21,0.61,21.08,21.07,✅,21.74,2465.0
4,2026-01-19,09:51,09:52,做多↑,LONG,1.07,0.54,4.92,0.78,✅,22.53,92.0
5,2026-01-19,09:53,09:54,做多↑,LONG,1.85,0.93,8.59,11.44,✅,33.96,1338.0
6,2026-01-19,10:03,10:04,做多↑,LONG,1.66,0.83,51.14,80.37,✅,114.33,9403.0
7,2026-01-19,10:07,10:08,做多↑,LONG,1.03,0.51,7.67,3.4,✅,117.73,398.0
8,2026-01-19,10:11,10:12,做多↑,LONG,1.29,0.64,-4.53,-10.33,❌,107.4,-1209.0
9,2026-01-19,10:13,10:14,做空↓,SHORT,1.11,-1.11,-11.19,-16.92,❌,90.48,-1980.0
10,2026-01-19,10:22,10:23,做空↓,SHORT,1.07,-1.07,-8.76,-13.91,❌,76.57,-1628.0
11,2026-01-19,10:24,10:25,做空↓,SHORT,1.12,-1.12,0.83,-3.57,❌,72.99,-418.0
12,2026-01-19,10:27,10:28,做空↓,SHORT,1.3,-1.3,-9.47,-16.77,❌,56.23,-1962.0
13,2026-01-19,10:28,10:29,做多↑,LONG,1.77,0.88,6.18,6.42,✅,62.64,751.0
14,2026-01-19,10:29,10:30,做多↑,LONG,1.24,0.62,3.99,0.45,✅,63.09,53.0
15,2026-01-19,10:32,10:33,做多↑,LONG,1.76,0.88,-14.6,-30.18,❌,32.91,-3531.0
16,2026-01-19,10:33,10:34,做空↓,SHORT,1.42,-1.42,10.13,9.93,✅,42.85,1162.0
17,2026-01-19,10:34,10:35,做空↓,SHORT,1.17,-1.17,4.7,1.01,✅,43.85,118.0
18,2026-01-19,10:36,10:37,做多↑,LONG,2.01,1.0,-1.21,-6.93,❌,36.92,-811.0
19,2026-01-19,10:38,10:39,做多↑,LONG,1.26,0.63,-4.11,-9.7,❌,27.22,-1134.0
20,2026-01-19,10:40,10:41,做空↓,SHORT,1.57,-1.57,8.22,8.41,✅,35.63,984.0
21,2026-01-19,10:42,10:43,做空↓,SHORT,1.1,-1.1,6.85,3.04,✅,38.68,356.0
22,2026-01-19,10:44,10:45,做多↑,LONG,3.0,1.92,6.38,14.65,✅,53.33,1714.0
23,2026-01-19,10:46,10:47,做多↑,LONG,1.4,0.7,10.38,10.01,✅,63.34,1171.0
24,2026-01-19,10:51,10:52,做多↑,LONG,1.17,0.58,-8.04,-13.89,❌,49.45,-1625.0
25,2026-01-19,10:57,10:58,做多↑,LONG,1.91,0.95,13.16,20.61,✅,70.05,2411.0
26,2026-01-19,10:59,11:00,做空↓,SHORT,1.11,-1.11,7.43,3.74,✅,73.79,437.0
27,2026-01-19,11:02,11:03,做多↑,LONG,1.49,0.75,18.51,23.12,✅,96.91,2705.0
28,2026-01-19,11:03,11:04,做多↑,LONG,1.69,0.85,7.13,7.56,✅,104.47,885.0
29,2026-01-19,11:06,11:07,做空↓,SHORT,1.16,-1.16,-13.01,-19.53,❌,84.94,-2286.0
30,2026-01-19,11:14,11:15,做多↑,LONG,2.96,1.48,14.06,37.12,✅,122.06,4343.0
31,2026-01-19,11:23,11:24,做空↓,SHORT,1.1,-1.1,-3.47,-8.31,❌,113.74,-973.0
32,2026-01-19,11:26,11:27,做空↓,SHORT,1.08,-1.08,-6.7,-11.73,❌,102.01,-1373.0
33,2026-01-19,11:27,11:28,做多↑,LONG,1.25,0.62,-2.76,-7.95,❌,94.06,-931.0
34,2026-01-19,13:06,13:07,做多↑,LONG,1.21,0.61,-1.84,-6.73,❌,87.32,-788.0
35,2026-01-19,13:08,13:09,做多↑,LONG,1.08,0.54,21.22,18.46,✅,105.78,2160.0
36,2026-01-19,13:10,13:11,做多↑,LONG,1.17,0.58,1.18,-3.12,❌,102.66,-365.0
37,2026-01-19,13:14,13:15,做多↑,LONG,1.61,0.81,9.46,10.74,✅,113.4,1257.0
