trade_no,date,entry_time,exit_time,direction,size,entry_signal_z,exit_signal_z,entry_price,exit_price,gross_bps,cost_bps,net_bps,result,cum_pnl_bps,approx_pnl_yuan,index_from_open_bps
1,2026-01-19,09:41,09:42,LONG,1.34,0.67,-0.6,1.008912,1.009073,1.59,4.5,-2.37,LOSS,-2.37,-277.0,90.73
2,2026-01-19,09:45,09:46,LONG,1.2,0.6,-0.51,1.014594,1.01523,6.27,4.5,3.0,WIN,0.63,351.0,152.3
3,2026-01-19,09:50,09:51,LONG,1.21,0.6,0.53,1.016159,1.0183,21.08,4.5,20.96,WIN,21.59,2452.0,183.0
4,2026-01-19,09:51,09:52,LONG,1.07,0.53,-0.0,1.0183,1.018801,4.92,4.5,0.76,WIN,22.35,89.0,188.01
5,2026-01-19,09:53,09:54,LONG,1.85,0.92,0.02,1.022468,1.023347,8.59,4.5,11.37,WIN,33.71,1330.0,233.47
6,2026-01-19,10:03,10:04,LONG,1.65,0.83,-0.65,1.032082,1.03736,51.14,4.5,80.0,WIN,113.71,9360.0,373.6
7,2026-01-19,10:07,10:08,LONG,1.03,0.51,0.11,1.039233,1.04003,7.67,4.5,3.37,WIN,117.08,394.0,400.3
8,2026-01-19,10:11,10:12,LONG,1.28,0.64,-0.44,1.042895,1.042423,-4.53,4.5,-10.31,LOSS,106.77,-1206.0,424.23
9,2026-01-19,10:13,10:14,SHORT,1.11,-1.11,0.32,1.041311,1.042477,-11.19,4.5,-16.87,LOSS,89.9,-1974.0,424.77
10,2026-01-19,10:22,10:23,SHORT,1.07,-1.07,0.24,1.041491,1.042404,-8.76,4.5,-13.88,LOSS,76.02,-1623.0,424.04
11,2026-01-19,10:24,10:25,SHORT,1.11,-1.11,-0.33,1.041624,1.041537,0.83,4.5,-3.58,LOSS,72.45,-418.0,415.37
12,2026-01-19,10:27,10:28,SHORT,1.29,-1.29,0.88,1.041188,1.042174,-9.47,4.5,-16.72,LOSS,55.73,-1956.0,421.74
13,2026-01-19,10:28,10:29,LONG,1.76,0.88,0.62,1.042174,1.042818,6.18,4.5,6.37,WIN,62.1,745.0,428.18
14,2026-01-19,10:29,10:30,LONG,1.24,0.62,-0.19,1.042818,1.043234,3.99,4.5,0.43,WIN,62.53,50.0,432.34
15,2026-01-19,10:32,10:33,LONG,1.75,0.88,-1.42,1.043764,1.04224,-14.6,4.5,-30.07,LOSS,32.46,-3518.0,422.4
16,2026-01-19,10:33,10:34,SHORT,1.42,-1.42,-1.17,1.04224,1.041184,10.13,4.5,9.87,WIN,42.34,1155.0,411.84
17,2026-01-19,10:34,10:35,SHORT,1.17,-1.17,-0.73,1.041184,1.040694,4.7,4.5,0.98,WIN,43.32,115.0,406.94
18,2026-01-19,10:36,10:37,LONG,2.0,1.0,-0.99,1.041451,1.041324,-1.21,4.5,-6.92,LOSS,36.4,-810.0,413.24
19,2026-01-19,10:38,10:39,LONG,1.26,0.63,-0.46,1.042436,1.042008,-4.11,4.5,-9.67,LOSS,26.72,-1132.0,420.08
20,2026-01-19,10:40,10:41,SHORT,1.56,-1.56,-0.97,1.04013,1.039275,8.22,4.5,8.36,WIN,35.08,978.0,392.75
21,2026-01-19,10:42,10:43,SHORT,1.1,-1.1,-0.99,1.037629,1.036918,6.85,4.5,3.01,WIN,38.09,352.0,369.18
22,2026-01-19,10:44,10:45,LONG,3.0,1.91,0.16,1.037995,1.038658,6.38,4.5,14.65,WIN,52.74,1714.0,386.58
23,2026-01-19,10:46,10:47,LONG,1.39,0.7,-0.04,1.040419,1.041499,10.38,4.5,9.94,WIN,62.69,1163.0,414.99
24,2026-01-19,10:51,10:52,LONG,1.16,0.58,-0.16,1.04547,1.04463,-8.04,4.5,-13.85,LOSS,48.84,-1620.0,446.3
25,2026-01-19,10:57,10:58,LONG,1.9,0.95,-0.09,1.050598,1.05198,13.16,4.5,20.5,WIN,69.33,2398.0,519.8
26,2026-01-19,10:59,11:00,SHORT,1.1,-1.1,-0.19,1.053241,1.052459,7.43,4.5,3.7,WIN,73.04,433.0,524.59
27,2026-01-19,11:02,11:03,LONG,1.49,0.74,0.84,1.055276,1.057229,18.51,4.5,23.0,WIN,96.03,2691.0,572.29
28,2026-01-19,11:03,11:04,LONG,1.68,0.84,0.32,1.057229,1.057983,7.13,4.5,7.51,WIN,103.54,879.0,579.83
29,2026-01-19,11:06,11:07,SHORT,1.15,-1.15,0.29,1.059612,1.060991,-13.01,4.5,-19.47,LOSS,84.07,-2278.0,609.91
