label,hold,th_long_mult,th_short_mult,scaled,ret,sharpe,dd,wr,avg_bps,trades,trades_per_day
h8_L0.5_LO_1x,8,0.5,999.0,False,12.23220296656978,17.155864615701848,-0.03602831724295952,0.78,264.4380903920765,1327,13.27
h8_L0.5_LO_sc,8,0.5,999.0,True,74.54561664261375,16.675490551134246,-0.03508767940502655,0.72,450.3979146995489,1220,12.2
h8_L0.5_S1.5_1x,8,0.5,1.5,False,11.576692451970386,16.59073901501244,-0.03602831724295974,0.77,259.3026226264683,1323,13.23
h8_L0.5_S1.5_sc,8,0.5,1.5,True,69.1413994060872,16.17322649585823,-0.03508767940502655,0.71,442.87235731874534,1218,12.18
h8_L0.7_LO_1x,8,0.7,999.0,False,6.544261534216974,15.684817055556167,-0.02905967876002158,0.76,206.18225871577027,995,9.95
h8_L0.7_LO_sc,8,0.7,999.0,True,16.20981741695538,15.577526257488863,-0.03445343424194047,0.74,292.76914605600524,959,9.59
h8_L0.7_S1.5_1x,8,0.7,1.5,False,6.156174010021901,14.997632705222504,-0.0349036065780417,0.75,200.86981474365575,997,9.97
h8_L0.7_S1.5_sc,8,0.7,1.5,True,15.104663130178388,14.9419619158272,-0.03602944794360097,0.73,286.0911833521214,960,9.6
h5_L0.5_LO_sc,5,0.5,999.0,True,27.825144398501703,14.934560607043972,-0.04448267841363862,0.69,348.12262407860834,1488,14.88
h5_L0.5_LO_1x,5,0.5,999.0,False,5.135192515744713,14.491977940895774,-0.04044291750029194,0.74,184.98805740028186,1613,16.13
h5_L0.5_S1.5_sc,5,0.5,1.5,True,23.9782900952467,14.206441398040907,-0.04448267841363862,0.68,333.3934504063333,1463,14.63
h5_L0.5_S1.5_1x,5,0.5,1.5,False,4.969523000501759,14.117218164548822,-0.04044291750029194,0.73,182.2439798688115,1608,16.08
h5_L0.7_LO_1x,5,0.7,999.0,False,2.8368573500021186,13.344335659394677,-0.01982148245142301,0.73,136.62257626018447,1191,11.91
h5_L0.7_S1.5_1x,5,0.7,1.5,False,2.7499755119021096,12.912588622257392,-0.027502126717090736,0.72,134.34137545652828,1207,12.07
h8_L1.0_LO_sc,8,1.0,999.0,True,2.8480354726785526,12.732422170776275,-0.019033982840248154,0.8,137.03401521732124,534,5.34
h5_L0.7_LO_sc,5,0.7,999.0,True,6.000048653703148,12.706273971295312,-0.026089489967371482,0.65,199.39519523602476,1093,10.93
h8_L0.5_S1.0_sc,8,0.5,1.0,True,16.39829432952337,12.6965742554853,-0.03730059838369093,0.64,296.0617645908018,1235,12.35
h3_L0.5_S1.5_sc,3,0.5,1.5,True,7.68818227539448,12.661545662747908,-0.04056544694297681,0.65,222.15900097772965,1755,17.55
h8_L1.0_LO_1x,8,1.0,999.0,False,1.9906253758354704,12.63229155160326,-0.019605989932710566,0.8,111.06994802185702,543,5.43
h3_L0.5_LO_sc,3,0.5,999.0,True,7.568489790864524,12.617658247640648,-0.04075614032278663,0.65,220.7198877366641,1733,17.33
h5_L0.7_S1.5_sc,5,0.7,1.5,True,6.010322280702768,12.445187617783802,-0.032386225378572164,0.66,199.66944029904613,1107,11.07
h3_L0.5_S1.5_1x,3,0.5,1.5,False,1.8740437366468834,12.09928030432893,-0.026806562284840685,0.7,107.06648910307442,1963,19.63
h3_L0.5_LO_1x,3,0.5,999.0,False,1.8713287714924505,12.053830199939059,-0.026806562284840907,0.7,106.97656320001201,1942,19.42
h5_L0.5_S1.0_sc,5,0.5,1.0,True,9.976989746338072,11.87683685072143,-0.04448267841363851,0.65,247.50316577389626,1648,16.48
h3_L0.7_LO_sc,3,0.7,999.0,True,2.698877625540108,11.867437092278266,-0.019701280425785228,0.69,133.15223090901344,1353,13.53
h3_L0.7_S1.5_sc,3,0.7,1.5,True,2.726464760908522,11.817906021367005,-0.02069301288711245,0.71,133.9351702343989,1376,13.76
h3_L0.7_LO_1x,3,0.7,999.0,False,1.2962167498577473,11.689480113757838,-0.01773218471320903,0.75,84.09222680711463,1433,14.33
