label,hold,th_long_mult,th_short_mult,scaled,hs300_ret,hs300_sharpe,hs300_dd,hs300_wr,hs300_avg_bps,hs300_trades,top300_ret,top300_sharpe,top300_dd,top300_wr,top300_avg_bps,top300_trades,delta_sharpe
h2_L0.5_S1.0_sc,2,0.5,1.0,True,-0.4121793514327138,-52.85269724601151,-0.40817274374445967,0.03,-52.98023507683435,1082,1.0125131072135036,5.906599985108177,-0.04070419313457585,0.46,71.93527997587822,2072,-58.75929723111969
h2_L0.5_LO_sc,2,0.5,999.0,True,-0.40122047872773614,-37.83166384944765,-0.39761255192774625,0.04,-51.132767328981906,1013,2.45745646444448,9.566855041185526,-0.04002086174081454,0.58,126.9075130731104,1906,-47.39851889063318
h2_L0.5_LO_1x,2,0.5,999.0,False,-0.4093216093128399,-75.85563357225149,-0.40570126541497953,0.0,-52.50418976560619,1120,0.6022361319973057,6.862539722113165,-0.04263756966009957,0.56,47.83473901302215,2099,-82.71817329436466
h2_L0.7_LO_sc,2,0.7,999.0,True,-0.3654000079990801,-28.685836962772154,-0.3619125961375885,0.05,-45.34246327154092,807,1.056829049704164,8.645660996979592,-0.025701612425181986,0.63,73.23385549376788,1402,-37.331497959751744
h2_L0.7_LO_1x,2,0.7,999.0,False,-0.358314825202827,-38.51698154226249,-0.3549992237972207,0.02,-44.25145867039387,870,0.412243170360201,6.324684598293492,-0.02537919060373306,0.62,34.944738950626196,1488,-44.841666140555986
h3_L0.5_LO_sc,3,0.5,999.0,True,-0.39824033579953255,-24.304234641779452,-0.39365595404025544,0.07,-50.60852637597502,1028,7.568489790864524,12.617658247640648,-0.04075614032278663,0.65,220.7198877366641,1733,-36.9218928894201
h3_L0.5_LO_1x,3,0.5,999.0,False,-0.4053983899182372,-61.680869213865016,-0.4019682289209293,0.0,-51.842891421236835,1095,1.8713287714924505,12.053830199939059,-0.026806562284840907,0.7,106.97656320001201,1942,-73.73469941380408
h3_L0.7_LO_sc,3,0.7,999.0,True,-0.3362860768804379,-21.26967899654973,-0.33192293584536525,0.08,-40.861768655943784,808,2.698877625540108,11.867437092278266,-0.019701280425785228,0.69,133.15223090901344,1353,-33.137116088827995
h3_L0.7_LO_1x,3,0.7,999.0,False,-0.33969800651534154,-32.669303150610475,-0.33609097737689353,0.04,-41.40029399669621,842,1.2962167498577473,11.689480113757838,-0.01773218471320903,0.75,84.09222680711463,1433,-44.35878326436831
h5_L0.5_S1.0_sc,5,0.5,1.0,True,-0.38788314268275514,-23.613447204455085,-0.3818935394799693,0.08,-48.91095925190385,990,9.976989746338072,11.87683685072143,-0.04448267841363851,0.65,247.50316577389626,1648,-35.49028405517652
h5_L0.5_LO_sc,5,0.5,999.0,True,-0.3682473934947007,-20.541665034064934,-0.3650373973646597,0.13,-45.7602905912049,875,27.825144398501703,14.934560607043972,-0.04448267841363862,0.69,348.12262407860834,1488,-35.476225641108904
h5_L0.5_LO_1x,5,0.5,999.0,False,-0.3809757700691687,-38.60730527910002,-0.37657655146578783,0.05,-47.8276285033196,998,5.135192515744713,14.491977940895774,-0.04044291750029194,0.74,184.98805740028186,1613,-53.09928321999579
h5_L0.7_S1.0_sc,5,0.7,1.0,True,-0.3391366980352938,-20.909716326612468,-0.33317669713722375,0.11,-41.2878825302237,800,1.8046718626739402,8.36196091549825,-0.04350246971491689,0.6,105.5508230537852,1356,-29.27167724211072
h5_L0.7_LO_sc,5,0.7,999.0,True,-0.316738061375765,-17.04291791419918,-0.3116397840426097,0.14,-37.955159751999304,688,6.000048653703148,12.706273971295312,-0.026089489967371482,0.65,199.39519523602476,1093,-29.74919188549449
