signal,config,hold,th_long,scaled,ret,sharpe,dd,wr,avg_bps,trades,trades_per_day
intensity_ew_resid,h5_L0.5_LO_sc,5,0.5,True,-0.33731727797739397,-7.475782989345109,-0.35405072434251483,0.14,-40.707598023568835,1074,10.74
intensity_ew_resid,h5_L0.7_LO_sc,5,0.7,True,-0.33661291548616545,-8.46802523668231,-0.3490803606070263,0.16,-40.67915779677008,1052,10.52
breadth_deficit,h5_L0.7_LO_sc,5,0.7,True,-0.3715815970218981,-8.727825895044806,-0.38477183422724626,0.13,-46.014247413265956,955,9.55
breadth_spread,h5_L0.5_LO_sc,5,0.5,True,-0.37638102615171465,-9.078833189837452,-0.3845851395206049,0.12,-46.792118788178016,1103,11.03
breadth_deficit,h5_L0.5_LO_sc,5,0.5,True,-0.36052225778393965,-9.09006635797488,-0.37142878262204604,0.13,-44.3252267937155,1075,10.75
breadth_resid_cw,h5_L0.5_LO_sc,5,0.5,True,-0.36996094543633906,-9.475644702573822,-0.38125581645637097,0.14,-45.810702725259,1081,10.81
breadth_resid_ew,h5_L0.5_LO_sc,5,0.5,True,-0.37093247962323317,-9.864223372981234,-0.37952240321044906,0.18,-45.98319932261089,1088,10.88
breadth_spread,h5_L0.7_LO_sc,5,0.7,True,-0.40254706620663994,-9.905877932002443,-0.4202370981828135,0.11,-51.059448154681895,898,8.98
breadth_ew_resid_cw,h5_L0.5_LO_sc,5,0.5,True,-0.39478071845800944,-11.302676682579593,-0.395878556825646,0.12,-49.856503405969725,1025,10.25
bot200_resid_cw,h5_L0.5_LO_sc,5,0.5,True,-0.40904374224369133,-11.456194433209863,-0.42122543696852255,0.1,-52.21470597332567,990,9.9
breadth_resid_ew,h5_L0.7_LO_sc,5,0.7,True,-0.37346152609244376,-12.2005995044128,-0.36984955006141573,0.14,-46.47047924605397,1038,10.38
top30_breadth_resid,h5_L0.5_LO_sc,5,0.5,True,-0.399996712230658,-12.516756114612225,-0.4109283503697164,0.12,-50.75445703982942,1155,11.55
breadth_cw_resid_ew,h5_L0.5_LO_sc,5,0.5,True,-0.40528717980864193,-12.656014541175487,-0.416264467879395,0.12,-51.632845789651114,1060,10.6
