date,day_net_signed_ret_bps
2023-10-19,-6.0
2023-11-08,-6.0
2023-11-09,21.137058715961043
2023-11-27,21.894020875785923
2023-11-29,-6.0
2023-12-01,22.368813351995357
2023-12-07,-6.0
2023-12-15,40.47969882423206
2023-12-18,23.282597790883596
2023-12-26,-12.0
2023-12-27,23.368596733097057
2024-01-03,23.11210207458313
2024-01-05,23.19710103334846
2024-01-12,-6.0
2024-01-19,104.41863541296425
2024-01-23,-6.0
2024-01-24,106.61220437812062
2024-02-02,44.59847340911081
2024-02-06,-6.0
2024-02-21,-6.0
2024-02-22,-6.0
2024-02-28,22.61232281032195
2024-09-02,-12.0
2024-09-09,-6.0
2024-09-11,24.72199036970059
2024-09-23,24.44142381228273
2024-09-24,24.257209165371112
2024-10-08,336.0804294982659
2025-04-07,-186.4256472784703
2025-07-08,-6.0
2025-07-28,17.724803536303956
2025-08-08,17.837913552761975
2025-08-15,17.446669592540548
2025-08-22,16.59887967437504
2025-09-05,15.953905634356559
2025-09-11,15.621630044950955
2025-12-16,15.668480850902931
2026-01-28,-17.955302967658078
2026-01-29,-6.0
