date,signal_datetime,entry_datetime,exit_datetime,signal_minute_idx,entry_minute_idx,exit_minute_idx,hold_bars,side,entry_px,exit_px,gross_bps,net_bps,state,DirScore_5,DirScore_10,GateScore_5,GateScore_10,Exhaustion_10,IPG_10,signal_side_5
2025-06-12,2025-06-12 13:24:00,2025-06-12 13:25:00,2025-06-12 13:55:00,143,144,174,30,-1,4.007,4.004,7.489702010333278,2.9897020103332776,EMERGING_DOWN,-0.954598672276444,-0.617185851774517,0.6220175537555657,0.3850429779772349,0.06276856872750104,0.1216986608548562,-1
2025-06-17,2025-06-17 10:58:00,2025-06-17 10:59:00,2025-06-17 11:29:00,87,88,118,30,-1,3.981,3.984,-7.532957041717814,-12.032957041717815,EMERGING_DOWN,-1.7319666976417079,-1.0801140979520825,0.7522854156024352,0.38694778547233183,0.02122338040519621,0.031722285865487865,-1
2025-06-25,2025-06-25 10:48:00,2025-06-25 10:49:00,2025-06-25 11:19:00,77,78,108,30,-1,3.94,3.948,-20.28398261392619,-24.78398261392619,EMERGING_DOWN,-1.1668857895274931,-1.1625022881143128,0.6531869282405188,0.19166196703758248,0.0,0.6635436468422172,-1
2025-07-01,2025-07-01 13:28:00,2025-07-01 13:29:00,2025-07-01 13:59:00,147,148,178,30,-1,3.986,3.987,-2.508466086150062,-7.008466086150062,EMERGING_DOWN,-0.7745172629537589,-0.8009616826577025,1.1925278655537843,0.2749256624441098,0.09913100173611035,-0.1982620034722207,-1
2025-07-02,2025-07-02 13:34:00,2025-07-02 13:35:00,2025-07-02 14:05:00,153,154,184,30,-1,3.988,3.99,-5.0137880218015445,-9.513788021801545,EMERGING_DOWN,-0.8949360580568385,-1.162152008670268,1.3291669884841029,0.15297599682682955,0.18517670574019862,1.0502570975992755,-1
2025-07-15,2025-07-15 10:38:00,2025-07-15 10:39:00,2025-07-15 11:09:00,67,68,98,30,-1,4.087,4.068,46.597263958267334,42.097263958267334,EMERGING_DOWN,-0.7527860008874869,-0.023323553346567133,1.4392129097754214,1.0624539669568904,0.10081978016333398,0.3621057803655823,-1
2025-07-23,2025-07-23 11:12:00,2025-07-23 11:13:00,2025-07-23 13:13:00,101,102,132,30,-1,4.209,4.225,-37.94171020703498,-42.44171020703498,EMERGING_DOWN,-0.895684328150842,-1.2078849657160224,1.0324809288410481,0.3785939492462389,0.13448540319081442,-0.26897080638162885,-1
2025-07-29,2025-07-29 13:40:00,2025-07-29 13:41:00,2025-07-29 14:11:00,159,160,190,30,-1,4.211,4.221,-23.71917620570944,-28.21917620570944,EMERGING_DOWN,-1.137746837084772,-1.0248844461014945,1.5416160516380608,0.27761453218217913,0.16666336298576204,0.9978708505667967,-1
2025-08-18,2025-08-18 14:18:00,2025-08-18 14:19:00,2025-08-18 14:49:00,197,198,228,30,-1,4.313,4.329,-37.028507941373874,-41.528507941373874,EMERGING_DOWN,-1.0085478161266805,-0.39808322192787804,0.9630211827604479,1.1218177497976363,0.0,2.557642649529305,-1
2025-08-29,2025-08-29 11:22:00,2025-08-29 11:23:00,2025-08-29 13:23:00,111,112,142,30,-1,4.584,4.576,17.467253349416485,12.967253349416485,EMERGING_DOWN,-0.7794548353543502,-0.2670817835719029,1.9784118329453115,0.6294112499903232,0.5809570785543002,1.5803598197257163,-1
