etf_code,date,datetime,minute_idx,fwd_ret_1m,horizon_min,pred_ret,pred_dir,confidence,signed_ret_bps,net_signed_ret_bps,fwd_ret_2m,fwd_ret_3m,fwd_ret_4m,fwd_ret_5m,breadth_diff_1,ret_oc,gap_abs,open30_flip_rate,open30_abs_bdiff_mean,open30_trendness,pred_sign,breadth_sign,breadth_align,diverge_now
510300.XSHG,2023-06-19,2023-06-19 13:09:00,128,,5,0.0013203895587187095,1.0,0.00137236304203232,0.0,-6.0,,,,0.0,927.0,-0.0025284463533586377,0.12291175639528318,0.5666666666666667,550.8965517241379,1.0,1.0,1.0,True,True
510300.XSHG,2023-06-27,2023-06-27 10:04:00,33,,5,0.0013606837705117656,1.0,0.0014142252330384948,25.940351770465277,19.940351770465277,,,,0.002594035177046528,1504.0,-0.0025940351770465356,0.11250825819719415,0.4666666666666667,723.7241379310345,0.33275638186991363,1.0,1.0,True,True
510300.XSHG,2023-11-08,2023-11-08 10:01:00,30,,5,0.0013352432874589309,1.0,0.0013894698729348494,0.0,-6.0,,,,0.0,727.0,-0.0027063615977430252,0.17965217440562478,0.6,1006.8275862068965,0.33303249060681894,1.0,1.0,True,True
510300.XSHG,2023-11-29,2023-11-29 14:10:00,189,,5,0.0015266417417145312,1.0,0.001597678531195897,0.0,-6.0,,,,0.0,429.0,-0.0028129413766147236,0.21694401793634707,0.5666666666666667,1290.8620689655172,1.0,1.0,1.0,True,True
510300.XSHG,2023-12-19,2023-12-19 10:54:00,83,,5,0.001342432095802293,1.0,0.001404785203021229,0.0,-6.0,,,,0.0,1155.0,-0.002936859673309825,0.17175364926754297,0.6333333333333333,1600.7586206896551,0.3333333333333245,1.0,1.0,True,True
510300.XSHG,2023-12-19,2023-12-19 14:06:00,185,,5,0.0015748385483389765,1.0,0.0016479864395165988,0.0,-6.0,,,,0.0,1103.0,-0.002945510229756803,0.1980722541873123,0.6333333333333333,1600.7586206896551,0.3333333333333245,1.0,1.0,True,True
510300.XSHG,2023-12-21,2023-12-21 14:03:00,182,,5,0.0013217190857021447,1.0,0.0013840538159432118,0.0,-6.0,,,,0.0,1085.0,-0.002936859673309825,0.26439765221040656,0.6,1718.7586206896551,0.20023661673078594,1.0,1.0,True,True
510300.XSHG,2023-12-27,2023-12-27 13:29:00,148,,5,0.001380124971513944,1.0,0.001444316922978477,29.368596733097057,23.368596733097057,,,,0.0029368596733097057,1226.0,-0.002936859673309825,0.11857864876799366,0.6333333333333333,1439.4827586206898,0.19976394182337678,1.0,1.0,True,True
510300.XSHG,2024-01-03,2024-01-03 13:52:00,171,,5,0.0013594901629105265,1.0,0.0014236792631757054,29.11210207458313,23.11210207458313,,,,0.002911210207458313,633.0,-0.00291121020745833,0.15424005524280654,0.43333333333333335,1136.9655172413793,0.19999999999998685,1.0,1.0,True,True
510300.XSHG,2024-01-05,2024-01-05 11:12:00,101,,5,0.0012992400766389063,1.0,0.0013612847859602603,29.19710103334846,23.19710103334846,,,,0.002919710103334846,55.0,-0.0029197101033348618,0.21053918728728707,0.5666666666666667,1389.8620689655172,0.33398469522165325,1.0,1.0,True,True
