etf_code,date,datetime,minute_idx,fwd_ret_1m,horizon_min,pred_ret,pred_dir,confidence,signed_ret_bps,net_signed_ret_bps,fwd_ret_2m,fwd_ret_3m,fwd_ret_4m,fwd_ret_5m,breadth_diff_1,ret_oc,gap_abs,open30_flip_rate,open30_abs_bdiff_mean,open30_trendness,pred_sign,breadth_sign,breadth_align,conf_q,shock_q,flip_q,bdiff_q,trend_min,gap_q,conf_thr,shock_thr,flip_thr,bdiff_thr,gap_thr
510300.XSHG,2023-10-18,2023-10-18 13:14:00,133,,5,0.0012498386657084565,1.0,0.0012969445911051357,27.137058715961043,21.137058715961043,,,,0.002713705871596104,583.0,-0.002713705871596162,0.0026127885059931064,0.5666666666666667,1069.2758620689656,0.3333333333333265,1.0,1.0,True,0.99,0.9,0.7,1.0,0.0,0.0,0.0012444164727723635,1606.6000000000001,0.6333333333333333,1902.2068965517242,
510300.XSHG,2023-10-19,2023-10-19 13:50:00,169,,5,0.0012054655391379307,1.0,0.0012512272937436673,0.0,-6.0,,,,0.0,755.0,-0.002766253492890185,0.08186582383991707,0.5333333333333333,1131.344827586207,0.1667809003029335,1.0,1.0,True,0.99,0.9,0.7,1.0,0.1,0.0,0.0012448607336622253,1606.6000000000001,0.6333333333333333,1902.2068965517242,
510300.XSHG,2023-10-25,2023-10-25 11:27:00,116,,5,0.0012210059738565213,1.0,0.001267192277048824,27.97204621061219,21.97204621061219,,,,0.002797204621061219,165.0,-0.002797204621061254,0.04157274213500264,0.6333333333333333,1484.7931034482758,0.1111796454234386,1.0,1.0,True,0.99,0.9,0.7,1.0,0.1,0.0,0.0012505380238537931,1638.3999999999999,0.6333333333333333,1917.448275862069,
510300.XSHG,2023-10-25,2023-10-25 13:34:00,153,,5,0.0013166792406674062,1.0,0.0013664845224748332,27.97204621061219,21.97204621061219,,,,0.002797204621061219,839.0,-0.002797204621061254,0.012584376921040896,0.6333333333333333,1484.7931034482758,0.1111796454234386,1.0,1.0,True,0.99,0.9,0.7,1.0,0.1,0.0,0.0012505380238537931,1638.3999999999999,0.6333333333333333,1917.448275862069,
510300.XSHG,2023-10-25,2023-10-25 14:49:00,228,,5,0.0012600384640843426,1.0,0.0013077012272339368,0.0,-6.0,,,,0.0,356.0,-0.002797204621061254,0.07312470427264807,0.6333333333333333,1484.7931034482758,0.1111796454234386,1.0,1.0,True,0.99,0.9,0.7,1.0,0.1,0.0,0.0012505380238537931,1638.3999999999999,0.6333333333333333,1917.448275862069,
510300.XSHG,2023-10-26,2023-10-26 11:05:00,94,,5,0.0012107161532230585,1.0,0.0012569547792474945,0.0,-6.0,,,,0.0,544.0,-0.0028129413766147236,0.09758153594093952,0.6,1633.1379310344828,0.333956096097358,1.0,1.0,True,0.99,0.9,0.7,1.0,0.1,0.0,0.00125640221753997,1638.3999999999999,0.6333333333333333,1917.448275862069,
510300.XSHG,2023-10-27,2023-10-27 14:54:00,233,,5,0.001325441713393994,1.0,0.0013761924206636355,27.51033371890019,21.51033371890019,,,,0.0027510333718900187,267.0,-0.002751033371889982,0.03391474145867499,0.6333333333333333,1387.2758620689656,0.501045785177253,1.0,1.0,True,0.99,0.9,0.7,1.0,0.1,0.0,0.0012566494673707028,1627.8000000000004,0.6333333333333333,1917.448275862069,
510300.XSHG,2023-11-08,2023-11-08 10:01:00,30,,5,0.0013352432874589309,1.0,0.0013894698729348494,0.0,-6.0,,,,0.0,727.0,-0.0027063615977430252,0.17965217440562478,0.6,1006.8275862068965,0.33303249060681894,1.0,1.0,True,0.99,0.9,0.7,1.0,0.0,0.0,0.0012682532060481885,1574.8000000000004,0.6333333333333333,1917.448275862069,
510300.XSHG,2023-11-09,2023-11-09 13:17:00,136,,5,0.0012721140474622546,1.0,0.0013247122987571406,0.0,-6.0,,,,0.0,527.0,-0.002713705871596162,0.0445676180054724,0.6,1103.655172413793,0.14307841266198343,1.0,1.0,True,0.99,0.9,0.7,1.0,0.0,0.0,0.0012697611072592936,1574.8000000000004,0.6333333333333333,1917.448275862069,
510300.XSHG,2023-11-09,2023-11-09 14:41:00,220,,5,0.0013520466519865537,1.0,0.001407949886217373,27.137058715961043,21.137058715961043,,,,0.002713705871596104,223.0,-0.002713705871596162,0.07678777994567024,0.6,1103.655172413793,0.14307841266198343,1.0,1.0,True,0.99,0.9,0.7,1.0,0.0,0.0,0.0012697611072592936,1574.8000000000004,0.6333333333333333,1917.448275862069,
510300.XSHG,2023-11-10,2023-11-10 13:20:00,139,,5,0.001264662078976021,1.0,0.0013178805442703812,0.0,-6.0,,,,0.0,164.0,-0.00273597981887486,0.053213586768989594,0.5333333333333333,1244.448275862069,0.1997813607554986,1.0,1.0,True,0.99,0.9,0.7,1.0,0.0,0.0,0.0012709260537566048,1564.2000000000003,0.6333333333333333,1917.448275862069,
510300.XSHG,2023-11-13,2023-11-13 14:10:00,189,,5,0.0012850241248676963,1.0,0.0013396087200798594,27.434859457508338,21.434859457508338,,,,0.002743485945750834,167.0,-0.0027434859457508326,0.05457382742828895,0.6,1221.3103448275863,0.3330300269205099,1.0,1.0,True,0.99,0.9,0.7,1.0,0.0,0.0,0.0012722194741237975,1660.1000000000001,0.6333333333333333,1917.448275862069,
510300.XSHG,2023-11-14,2023-11-14 14:53:00,232,,5,0.0014050094272054453,1.0,0.0014651886572778915,0.0,-6.0,,,,0.0,217.0,-0.00273597981887486,0.08684076610999165,0.5666666666666667,1061.1379310344828,6.755117444801197e-15,1.0,1.0,True,0.99,0.9,0.7,1.0,0.0,0.0,0.0012723352328345388,1649.0,0.6333333333333333,1917.448275862069,
510300.XSHG,2023-11-27,2023-11-27 14:08:00,187,,5,0.0013427426591074482,1.0,0.0014027016685160235,27.97204621061219,21.97204621061219,,,,0.002797204621061219,1178.0,-0.002797204621061254,0.04878775304777119,0.5666666666666667,894.6551724137931,1.0,1.0,1.0,True,0.99,0.9,0.7,1.0,0.0,0.0,0.0012860265931123685,1704.5,0.6333333333333333,1917.448275862069,
